year_academic,id_school,name_school,sector,category,group,oss_denom,oss_0_numer,oss_0_pct,oss_1_numer,oss_1_pct,oss_2_numer,oss_2_pct,oss_3_numer,oss_3_pct,oss_4_numer,oss_4_pct,att_denom,att_95_numer,att_95_pct,grad_denom,grad_4_numer,grad_4_pct
2018-2019,8250,Edwin Forrest School,District,All Students,All Students,1294,1259,97.3,23,1.78,5,0.39,5,0.39,2,0.15,1294,556,42.97,,,
2018-2019,8260,Fox Chase School,District,All Students,All Students,531,531,100,0,0,0,0,0,0,0,0,531,280,52.73,,,
2018-2019,8270,Thomas Holme School,District,All Students,All Students,669,639,95.52,22,3.29,6,0.9,1,0.15,1,0.15,669,321,47.98,,,
2018-2019,8300,Mayfair School,District,All Students,All Students,2117,2050,96.84,48,2.27,10,0.47,3,0.14,6,0.28,2117,1529,72.22,,,
2018-2019,8310,J. Hampton Moore School,District,All Students,All Students,1284,1274,99.22,10,0.78,0,0,0,0,0,0,1284,672,52.34,,,
2018-2019,8340,Solomon Solis-Cohen School,District,All Students,All Students,1340,1326,98.96,7,0.52,4,0.3,1,0.07,2,0.15,1340,689,51.42,,,
2018-2019,8350,Gilbert Spruance School,District,All Students,All Students,1508,1439,95.42,54,3.58,11,0.73,2,0.13,2,0.13,1508,733,48.61,,,
2018-2019,8360,Rhawnhurst School,District,All Students,All Students,703,703,100,0,0,0,0,0,0,0,0,703,404,57.47,,,
2018-2019,8370,Watson Comly School,District,All Students,All Students,553,553,100,0,0,0,0,0,0,0,0,553,332,60.04,,,
2018-2019,8380,Louis H. Farrell School,District,All Students,All Students,1238,1223,98.79,13,1.05,2,0.16,0,0,0,0,1238,801,64.7,,,
2018-2019,8390,A.L. Fitzpatrick School,District,All Students,All Students,896,840,93.75,37,4.13,12,1.34,4,0.45,3,0.33,896,442,49.33,,,
2018-2019,8400,Anne Frank School,District,All Students,All Students,1429,1412,98.81,11,0.77,5,0.35,0,0,1,0.07,1429,966,67.6,,,
2018-2019,8410,Robert B. Pollock School,District,All Students,All Students,717,681,94.98,24,3.35,10,1.39,1,0.14,1,0.14,717,323,45.05,,,
2018-2019,8420,Stephen Decatur School,District,All Students,All Students,1042,1003,96.26,27,2.59,9,0.86,0,0,3,0.29,1042,566,54.32,,,
2018-2019,8430,Joseph Greenberg School,District,All Students,All Students,838,837,99.88,1,0.12,0,0,0,0,0,0,838,679,81.03,,,
2018-2019,8440,William H. Loesche School,District,All Students,All Students,957,951,99.37,5,0.52,1,0.1,0,0,0,0,957,533,55.69,,,
2018-2019,8560,The Workshop School,District,All Students,All Students,258,243,94.19,11,4.26,3,1.16,0,0,1,0.39,258,102,39.53,66,57,86.36
2018-2019,8770,John Hancock Demonstration School,District,All Students,All Students,817,791,96.82,19,2.33,5,0.61,0,0,2,0.24,817,425,52.02,,,
