year_academic,id_school,name_school,sector,category,group,oss_denom,oss_0_numer,oss_0_pct,oss_1_numer,oss_1_pct,oss_2_numer,oss_2_pct,oss_3_numer,oss_3_pct,oss_4_numer,oss_4_pct,att_denom,att_95_numer,att_95_pct,grad_denom,grad_4_numer,grad_4_pct
2018-2019,5180,Vaux High School: A Big Picture,District,All Students,All Students,258,156,60.47,64,24.81,22,8.53,12,4.65,4,1.55,258,53,20.54,,,
2018-2019,5200,Alexander Adaire School,District,All Students,All Students,456,455,99.78,0,0,1,0.22,0,0,0,0,456,314,68.86,,,
2018-2019,5210,Henry A. Brown School,District,All Students,All Students,490,475,96.94,10,2.04,3,0.61,0,0,2,0.41,490,222,45.31,,,
2018-2019,5230,Russell H. Conwell School,District,All Students,All Students,372,365,98.12,6,1.61,1,0.27,0,0,0,0,372,245,65.86,,,
2018-2019,5250,Paul L. Dunbar School,District,All Students,All Students,304,293,96.38,9,2.96,1,0.33,0,0,1,0.33,304,133,43.75,,,
2018-2019,5260,Lewis Elkin School,District,All Students,All Students,873,848,97.14,16,1.83,6,0.69,2,0.23,1,0.11,873,293,33.56,,,
2018-2019,5300,Horatio B. Hackett School,District,All Students,All Students,386,385,99.74,1,0.26,0,0,0,0,0,0,386,196,50.78,,,
2018-2019,5320,John F. Hartranft School,District,All Students,All Students,571,537,94.05,23,4.03,5,0.88,4,0.7,2,0.35,571,211,36.95,,,
2018-2019,5330,William H. Hunter School,District,All Students,All Students,591,562,95.09,17,2.88,5,0.85,4,0.68,3,0.51,591,192,32.49,,,
2018-2019,5340,James R. Ludlow School,District,All Students,All Students,328,313,95.43,7,2.13,4,1.22,2,0.61,2,0.61,328,137,41.77,,,
2018-2019,5350,William McKinley School,District,All Students,All Students,464,448,96.55,12,2.59,2,0.43,1,0.22,1,0.22,464,163,35.13,,,
2018-2019,5370,John Moffet School,District,All Students,All Students,327,327,100,0,0,0,0,0,0,0,0,327,185,56.57,,,
2018-2019,5390,Potter-Thomas School,District,All Students,All Students,592,557,94.09,28,4.73,4,0.68,3,0.51,0,0,592,178,30.07,,,
2018-2019,5400,Richmond School,District,All Students,All Students,587,582,99.15,2,0.34,2,0.34,0,0,1,0.17,587,264,44.97,,,
2018-2019,5410,Isaac A. Sheppard School,District,All Students,All Students,202,201,99.5,1,0.5,0,0,0,0,0,0,202,56,27.72,,,
2018-2019,5420,John Welsh School,District,All Students,All Students,404,377,93.32,20,4.95,6,1.49,1,0.25,0,0,404,168,41.58,,,
2018-2019,5430,Alternative Middle Years at James Martin,District,All Students,All Students,440,394,89.55,34,7.73,6,1.36,2,0.45,4,0.91,440,257,58.41,,,
